"ProtocolName","LabelName","GroupValues","Size","Estimator","RMSE","Correlation"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Weka RF folded fingerprints regression","0.8466318847058238","0.7907532536349359"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","RBF libSVM folded fingerprints regression","0.9142521749205337","0.7634752022821398"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Tanimoto Smile SVM regression","0.9093042419525779","0.7633691975621528"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Poly Smile SVM fingerprints regression","0.9180462400861173","0.7590010028586367"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Weka RF descriptors regression","0.923595572469408","0.7454366208513132"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Elastic Net on folded fingerprints regression","1.0080974034592813","0.7109826162588514"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","RBF Smile SVM descriptors regression","1.0240384566209397","0.7039620571248631"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","RBF libSVM folded fingerprints regression","0.8408489464708342","0.8134706654229681"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Poly Smile SVM fingerprints regression","0.8482594094215267","0.8093349057825523"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Tanimoto Smile SVM regression","0.8537250565930763","0.8070180568106871"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","RBF Smile SVM descriptors regression","0.8656356976229572","0.803459060212225"
