"ProtocolName","LabelName","GroupValues","Size","Estimator","ROC_AUC","Direction","Threshold","Accuracy","Precision","Recall"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Smile Bernoulli NB classification","0.8263941940412529","UP","7.531809262913981","0.5847953216374269","0.19318181818181818","1.0"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Weka RF on folded fp classification","0.8252482811306341","UP","7.531809262913981","0.847953216374269","0.15384615384615385","0.11764705882352941"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Weka RF classification","0.8086325439266616","UP","7.531809262913981","0.8654970760233918","0.2","0.11764705882352941"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Smile SVC Tanimoto classification","0.7605042016806726","UP","7.531809262913981","0.8596491228070176","0.0","0.0"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Smile SVC RBF classification","0.6883116883116885","UP","7.531809262913981","0.8771929824561403","0.16666666666666666","0.058823529411764705"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Smile SVC Poly classification","0.619556913674561","UP","7.531809262913981","0.9005847953216374","NaN","0.0"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Weka RF on folded fp classification","0.8891613684529217","UP","8.522878745280337","0.912621359223301","0.6666666666666666","0.4"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Smile SVC Poly classification","0.8754465637299419","UP","8.522878745280337","0.8907766990291263","NaN","0.0"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Weka RF classification","0.8753860127157131","UP","8.522878745280337","0.8980582524271845","0.5714285714285714","0.26666666666666666"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Smile Bernoulli NB classification","0.853587647593097","UP","8.522878745280337","0.6067961165048543","0.2146341463414634","0.9777777777777777"
